,Volume,Volume Index Date,Direction
5067,113078000,2001-01-02 00:00:00,Up
5068,204268400,2001-01-03 00:00:00,Up
5072,147232400,2001-01-09 00:00:00,Up
5074,200933600,2001-01-11 00:00:00,Up
5078,306752600,2001-01-18 00:00:00,Up
5079,194166000,2001-01-19 00:00:00,Up
5080,129831800,2001-01-22 00:00:00,Up
5081,219882600,2001-01-23 00:00:00,Up
5084,120705200,2001-01-26 00:00:00,Up
5085,213882200,2001-01-29 00:00:00,Up
5086,173105800,2001-01-30 00:00:00,Up
5087,182676200,2001-01-31 00:00:00,Up
5088,92423800,2001-02-01 00:00:00,Up
5091,115677800,2001-02-06 00:00:00,Up
5092,98471800,2001-02-07 00:00:00,Up
5093,151032000,2001-02-08 00:00:00,Up
5095,68530000,2001-02-12 00:00:00,Up
5097,77280000,2001-02-14 00:00:00,Up
5098,77854000,2001-02-15 00:00:00,Up
5099,65977800,2001-02-16 00:00:00,Up
5101,97564600,2001-02-21 00:00:00,Up
5103,73466400,2001-02-23 00:00:00,Up
5104,51609600,2001-02-26 00:00:00,Up
5105,87129000,2001-02-27 00:00:00,Up
5107,82615400,2001-03-01 00:00:00,Up
5108,101550400,2001-03-02 00:00:00,Up
5109,81043200,2001-03-05 00:00:00,Up
5110,182950600,2001-03-06 00:00:00,Up
5112,51214800,2001-03-08 00:00:00,Up
5115,110832400,2001-03-13 00:00:00,Up
5116,119443800,2001-03-14 00:00:00,Up
5118,117579000,2001-03-16 00:00:00,Up
5119,89002200,2001-03-19 00:00:00,Up
5121,92843800,2001-03-21 00:00:00,Up
5122,180825400,2001-03-22 00:00:00,Up
5123,236222000,2001-03-23 00:00:00,Up
5125,135955400,2001-03-27 00:00:00,Up
5126,146165600,2001-03-28 00:00:00,Up
5127,153266400,2001-03-29 00:00:00,Up
5132,111690600,2001-04-05 00:00:00,Up
5135,114343600,2001-04-10 00:00:00,Up
5137,74733400,2001-04-12 00:00:00,Up
5140,275210600,2001-04-18 00:00:00,Up
5141,468417600,2001-04-19 00:00:00,Up
5142,173350800,2001-04-20 00:00:00,Up
5145,82695200,2001-04-25 00:00:00,Up
5147,113253000,2001-04-27 00:00:00,Up
5149,106813000,2001-05-01 00:00:00,Up
5150,92131200,2001-05-02 00:00:00,Up
5152,70263200,2001-05-04 00:00:00,Up
5158,77305200,2001-05-14 00:00:00,Up
5160,80582600,2001-05-16 00:00:00,Up
5162,39762800,2001-05-18 00:00:00,Up
5170,110723200,2001-05-31 00:00:00,Up
5171,114018800,2001-06-01 00:00:00,Up
5173,117948600,2001-06-05 00:00:00,Up
5175,81295200,2001-06-07 00:00:00,Up
5178,75948600,2001-06-12 00:00:00,Up
5181,113656200,2001-06-15 00:00:00,Up
5184,107905000,2001-06-20 00:00:00,Up
5185,85332800,2001-06-21 00:00:00,Up
5187,109887400,2001-06-25 00:00:00,Up
5188,68195400,2001-06-26 00:00:00,Up
5190,87102400,2001-06-28 00:00:00,Up
5192,57512000,2001-07-02 00:00:00,Up
5193,28135800,2001-07-03 00:00:00,Up
5196,84366800,2001-07-09 00:00:00,Up
5198,117626600,2001-07-11 00:00:00,Up
5199,153700400,2001-07-12 00:00:00,Up
5200,113685600,2001-07-13 00:00:00,Up
5202,161957600,2001-07-17 00:00:00,Up
5205,111146000,2001-07-20 00:00:00,Up
5209,92285200,2001-07-26 00:00:00,Up
5210,83533800,2001-07-27 00:00:00,Up
5213,76034000,2001-08-01 00:00:00,Up
5214,63022400,2001-08-02 00:00:00,Up
5216,24913000,2001-08-06 00:00:00,Up
5219,50166200,2001-08-09 00:00:00,Up
5224,72023000,2001-08-16 00:00:00,Up
5225,52106600,2001-08-17 00:00:00,Up
5228,43493800,2001-08-22 00:00:00,Up
5230,72583000,2001-08-24 00:00:00,Up
5231,43911000,2001-08-27 00:00:00,Up
5234,92173200,2001-08-30 00:00:00,Up
5235,54226200,2001-08-31 00:00:00,Up
5237,90014400,2001-09-05 00:00:00,Up
5240,77211400,2001-09-10 00:00:00,Up
5241,114501800,2001-09-17 00:00:00,Up
5243,93329600,2001-09-19 00:00:00,Up
5245,142629200,2001-09-21 00:00:00,Up
5246,73634400,2001-09-24 00:00:00,Up
5249,80560200,2001-09-27 00:00:00,Up
5251,52052000,2001-10-01 00:00:00,Up
5253,170760800,2001-10-03 00:00:00,Up
5254,100280600,2001-10-04 00:00:00,Up
5255,85671600,2001-10-05 00:00:00,Up
5256,51996000,2001-10-08 00:00:00,Up
5258,76939800,2001-10-10 00:00:00,Up
5259,83540800,2001-10-11 00:00:00,Up
5260,71953000,2001-10-12 00:00:00,Up
5261,79688000,2001-10-15 00:00:00,Up
5264,153143200,2001-10-18 00:00:00,Up
5265,41697600,2001-10-19 00:00:00,Up
5266,97984600,2001-10-22 00:00:00,Up
5268,93606800,2001-10-24 00:00:00,Up
5269,63737800,2001-10-25 00:00:00,Up
5272,69190800,2001-10-30 00:00:00,Up
5274,78248800,2001-11-01 00:00:00,Up
5275,49301000,2001-11-02 00:00:00,Up
5276,58948400,2001-11-05 00:00:00,Up
5277,79004800,2001-11-06 00:00:00,Up
5278,95747400,2001-11-07 00:00:00,Up
5280,33573400,2001-11-09 00:00:00,Up
5281,50374800,2001-11-12 00:00:00,Up
5282,56168000,2001-11-13 00:00:00,Up
5283,55287400,2001-11-14 00:00:00,Up
5284,53257400,2001-11-15 00:00:00,Up
5286,83147400,2001-11-19 00:00:00,Up
5288,50395800,2001-11-21 00:00:00,Up
5289,15001000,2001-11-23 00:00:00,Up
5290,115172400,2001-11-26 00:00:00,Up
5294,75978000,2001-11-30 00:00:00,Up
5296,95104800,2001-12-04 00:00:00,Up
5297,142144800,2001-12-05 00:00:00,Up
5299,50878800,2001-12-07 00:00:00,Up
5300,42502600,2001-12-10 00:00:00,Up
5305,43428000,2001-12-17 00:00:00,Up
5306,58809800,2001-12-18 00:00:00,Up
5307,72489200,2001-12-19 00:00:00,Up
5310,12657400,2001-12-24 00:00:00,Up
5311,36600200,2001-12-26 00:00:00,Up
5312,47877200,2001-12-27 00:00:00,Up
5313,74781000,2001-12-28 00:00:00,Up
5315,132374200,2002-01-02 00:00:00,Up
5316,153001800,2002-01-03 00:00:00,Up
5317,102494000,2002-01-04 00:00:00,Up
5321,113184400,2002-01-10 00:00:00,Up
5323,103999000,2002-01-14 00:00:00,Up
5324,72580200,2002-01-15 00:00:00,Up
5326,165144000,2002-01-17 00:00:00,Up
5327,84702800,2002-01-18 00:00:00,Up
5329,110819800,2002-01-23 00:00:00,Up
5330,86000600,2002-01-24 00:00:00,Up
5331,46478600,2002-01-25 00:00:00,Up
5334,117894000,2002-01-30 00:00:00,Up
5335,117111400,2002-01-31 00:00:00,Up
5336,99576400,2002-02-01 00:00:00,Up
5337,130593400,2002-02-04 00:00:00,Up
5338,114221800,2002-02-05 00:00:00,Up
5342,99650600,2002-02-11 00:00:00,Up
5343,56070000,2002-02-12 00:00:00,Up
5344,78218000,2002-02-13 00:00:00,Up
5348,71360800,2002-02-20 00:00:00,Up
5350,101619000,2002-02-22 00:00:00,Up
5351,106712200,2002-02-25 00:00:00,Up
5355,87248000,2002-03-01 00:00:00,Up
5356,87064600,2002-03-04 00:00:00,Up
5358,56551600,2002-03-06 00:00:00,Up
5359,64562400,2002-03-07 00:00:00,Up
5361,65696400,2002-03-11 00:00:00,Up
5362,63513800,2002-03-12 00:00:00,Up
5363,50191400,2002-03-13 00:00:00,Up
5364,54324200,2002-03-14 00:00:00,Up
5365,60225200,2002-03-15 00:00:00,Up
5367,60586400,2002-03-19 00:00:00,Up
5368,73579800,2002-03-20 00:00:00,Up
5369,154088200,2002-03-21 00:00:00,Up
5372,64460200,2002-03-26 00:00:00,Up
5373,31925600,2002-03-27 00:00:00,Up
5375,49761600,2002-04-01 00:00:00,Up
5376,50948800,2002-04-02 00:00:00,Up
5378,84624400,2002-04-04 00:00:00,Up
5380,65378600,2002-04-08 00:00:00,Up
5382,56245000,2002-04-10 00:00:00,Up
5384,80060400,2002-04-12 00:00:00,Up
5386,153644400,2002-04-16 00:00:00,Up
5387,99062600,2002-04-17 00:00:00,Up
5393,48550600,2002-04-25 00:00:00,Up
5395,68072200,2002-04-29 00:00:00,Up
5396,70240800,2002-04-30 00:00:00,Up
5402,109170600,2002-05-08 00:00:00,Up
5405,66402000,2002-05-13 00:00:00,Up
5406,131626600,2002-05-14 00:00:00,Up
5408,56763000,2002-05-16 00:00:00,Up
5410,67478600,2002-05-20 00:00:00,Up
5412,72718800,2002-05-22 00:00:00,Up
5413,92349600,2002-05-23 00:00:00,Up
5415,37429000,2002-05-28 00:00:00,Up
5416,55448400,2002-05-29 00:00:00,Up
5417,49093800,2002-05-30 00:00:00,Up
5424,69393800,2002-06-10 00:00:00,Up
5428,106225000,2002-06-14 00:00:00,Up
5429,81152400,2002-06-17 00:00:00,Up
5434,107983400,2002-06-24 00:00:00,Up
5437,62914600,2002-06-27 00:00:00,Up
5438,67464600,2002-06-28 00:00:00,Up
5441,49757400,2002-07-03 00:00:00,Up
5442,40412400,2002-07-05 00:00:00,Up
5446,93419200,2002-07-11 00:00:00,Up
5448,73998400,2002-07-15 00:00:00,Up
5452,96301800,2002-07-19 00:00:00,Up
5453,107724400,2002-07-22 00:00:00,Up
5455,101648400,2002-07-24 00:00:00,Up
5458,68740000,2002-07-29 00:00:00,Up
5459,88709600,2002-07-30 00:00:00,Up
5464,68013400,2002-08-06 00:00:00,Up
5466,56837200,2002-08-08 00:00:00,Up
5468,44941400,2002-08-12 00:00:00,Up
5470,99771000,2002-08-14 00:00:00,Up
5471,80519600,2002-08-15 00:00:00,Up
5472,61306000,2002-08-16 00:00:00,Up
5473,54139400,2002-08-19 00:00:00,Up
5475,50607200,2002-08-21 00:00:00,Up
5481,41042400,2002-08-29 00:00:00,Up
5482,48379800,2002-08-30 00:00:00,Up
5484,105165200,2002-09-04 00:00:00,Up
5487,39561200,2002-09-09 00:00:00,Up
5491,70737800,2002-09-13 00:00:00,Up
5492,71660400,2002-09-16 00:00:00,Up
5493,106999200,2002-09-17 00:00:00,Up
5494,82160400,2002-09-18 00:00:00,Up
5496,88197200,2002-09-20 00:00:00,Up
5497,65927400,2002-09-23 00:00:00,Up
5498,62665400,2002-09-24 00:00:00,Up
5499,63670600,2002-09-25 00:00:00,Up
5501,51538200,2002-09-27 00:00:00,Up
5502,59424400,2002-09-30 00:00:00,Up
5505,54474000,2002-10-03 00:00:00,Up
5509,89171600,2002-10-09 00:00:00,Up
5510,80393600,2002-10-10 00:00:00,Up
5511,73669400,2002-10-11 00:00:00,Up
5512,48601000,2002-10-14 00:00:00,Up
5516,72074800,2002-10-18 00:00:00,Up
5517,59630200,2002-10-21 00:00:00,Up
5518,54537000,2002-10-22 00:00:00,Up
5519,52259200,2002-10-23 00:00:00,Up
5521,69767600,2002-10-25 00:00:00,Up
5522,87325000,2002-10-28 00:00:00,Up
5524,67669000,2002-10-30 00:00:00,Up
5525,73959200,2002-10-31 00:00:00,Up
5526,47457200,2002-11-01 00:00:00,Up
5527,94204600,2002-11-04 00:00:00,Up
5528,52673600,2002-11-05 00:00:00,Up
5529,54097400,2002-11-06 00:00:00,Up
5533,55948200,2002-11-12 00:00:00,Up
5534,57934800,2002-11-13 00:00:00,Up
5535,35428400,2002-11-14 00:00:00,Up
5539,52185000,2002-11-20 00:00:00,Up
5540,104620600,2002-11-21 00:00:00,Up
5544,71699600,2002-11-27 00:00:00,Up
5550,61339600,2002-12-06 00:00:00,Up
5552,77152600,2002-12-10 00:00:00,Up
5553,63375200,2002-12-11 00:00:00,Up
5556,62906200,2002-12-16 00:00:00,Up
5557,55665400,2002-12-17 00:00:00,Up
5561,31456600,2002-12-23 00:00:00,Up
5566,50181600,2002-12-31 00:00:00,Up
5567,45357200,2003-01-02 00:00:00,Up
5568,36863400,2003-01-03 00:00:00,Up
5570,85586200,2003-01-07 00:00:00,Up
5572,53813200,2003-01-09 00:00:00,Up
5573,43775200,2003-01-10 00:00:00,Up
5577,139767600,2003-01-16 00:00:00,Up
5581,57064000,2003-01-23 00:00:00,Up
5583,97851600,2003-01-27 00:00:00,Up
5584,71563800,2003-01-28 00:00:00,Up
5585,93261000,2003-01-29 00:00:00,Up
5587,85306200,2003-01-31 00:00:00,Up
5588,66196200,2003-02-03 00:00:00,Up
5589,79353400,2003-02-04 00:00:00,Up
5591,44787400,2003-02-06 00:00:00,Up
5593,41972000,2003-02-10 00:00:00,Up
5595,57171800,2003-02-12 00:00:00,Up
5596,52123400,2003-02-13 00:00:00,Up
5597,60824400,2003-02-14 00:00:00,Up
5598,72724400,2003-02-18 00:00:00,Up
5601,39361000,2003-02-21 00:00:00,Up
5603,47160400,2003-02-25 00:00:00,Up
5605,38585400,2003-02-27 00:00:00,Up
5606,48774600,2003-02-28 00:00:00,Up
5609,31670800,2003-03-05 00:00:00,Up
5611,50246000,2003-03-07 00:00:00,Up
5614,55640200,2003-03-12 00:00:00,Up
5615,83861400,2003-03-13 00:00:00,Up
5616,38274600,2003-03-14 00:00:00,Up
5617,99978200,2003-03-17 00:00:00,Up
5618,57495200,2003-03-18 00:00:00,Up
5623,41924400,2003-03-25 00:00:00,Up
5625,30598400,2003-03-27 00:00:00,Up
5626,36325800,2003-03-28 00:00:00,Up
5629,42842800,2003-04-02 00:00:00,Up
5635,26775000,2003-04-10 00:00:00,Up
5639,254044000,2003-04-16 00:00:00,Up
5641,38080000,2003-04-21 00:00:00,Up
5642,75142200,2003-04-22 00:00:00,Up
5643,52420200,2003-04-23 00:00:00,Up
5646,159199600,2003-04-28 00:00:00,Up
5647,114559200,2003-04-29 00:00:00,Up
5648,114543800,2003-04-30 00:00:00,Up
5649,85689800,2003-05-01 00:00:00,Up
5651,388927000,2003-05-05 00:00:00,Up
5652,378623000,2003-05-06 00:00:00,Up
5653,263594800,2003-05-07 00:00:00,Up
5654,171934000,2003-05-08 00:00:00,Up
5656,104843200,2003-05-12 00:00:00,Up
5657,111699000,2003-05-13 00:00:00,Up
5659,71248800,2003-05-15 00:00:00,Up
5660,85407000,2003-05-16 00:00:00,Up
5663,76252400,2003-05-21 00:00:00,Up
5664,44615200,2003-05-22 00:00:00,Up
5665,51679600,2003-05-23 00:00:00,Up
5666,72532600,2003-05-27 00:00:00,Up
5672,67800600,2003-06-04 00:00:00,Up
5673,51374400,2003-06-05 00:00:00,Up
5676,44161600,2003-06-10 00:00:00,Up
5677,56278600,2003-06-11 00:00:00,Up
5678,63147000,2003-06-12 00:00:00,Up
5680,59631600,2003-06-16 00:00:00,Up
5682,113745800,2003-06-18 00:00:00,Up
5687,82453000,2003-06-25 00:00:00,Up
5688,40426400,2003-06-26 00:00:00,Up
5690,55538000,2003-06-30 00:00:00,Up
5691,45248000,2003-07-01 00:00:00,Up
5692,81324600,2003-07-02 00:00:00,Up
5693,34442800,2003-07-03 00:00:00,Up
5694,71568000,2003-07-07 00:00:00,Up
5695,64184400,2003-07-08 00:00:00,Up
5698,34214600,2003-07-11 00:00:00,Up
5702,187803000,2003-07-17 00:00:00,Up
5708,54171600,2003-07-25 00:00:00,Up
5712,75366200,2003-07-31 00:00:00,Up
5714,57528800,2003-08-04 00:00:00,Up
5717,43594600,2003-08-07 00:00:00,Up
5721,71024800,2003-08-13 00:00:00,Up
5724,48193600,2003-08-18 00:00:00,Up
5726,68303200,2003-08-20 00:00:00,Up
5727,63831600,2003-08-21 00:00:00,Up
5729,34445600,2003-08-25 00:00:00,Up
5730,41239800,2003-08-26 00:00:00,Up
5731,56425600,2003-08-27 00:00:00,Up
5732,79906400,2003-08-28 00:00:00,Up
5733,65788800,2003-08-29 00:00:00,Up
5734,60533200,2003-09-02 00:00:00,Up
5735,67207000,2003-09-03 00:00:00,Up
5738,41811000,2003-09-08 00:00:00,Up
5741,53421200,2003-09-11 00:00:00,Up
5742,44997400,2003-09-12 00:00:00,Up
5744,67251800,2003-09-16 00:00:00,Up
5746,63226800,2003-09-18 00:00:00,Up
5749,33112800,2003-09-23 00:00:00,Up
5752,86812600,2003-09-26 00:00:00,Up
5755,59028200,2003-10-01 00:00:00,Up
5757,74900000,2003-10-03 00:00:00,Up
5758,67082400,2003-10-06 00:00:00,Up
5759,104543600,2003-10-07 00:00:00,Up
5761,86937200,2003-10-09 00:00:00,Up
5762,43709400,2003-10-10 00:00:00,Up
5763,69966400,2003-10-13 00:00:00,Up
5764,68854800,2003-10-14 00:00:00,Up
5768,69783000,2003-10-20 00:00:00,Up
5771,41302800,2003-10-23 00:00:00,Up
5772,54964000,2003-10-24 00:00:00,Up
5774,62928600,2003-10-28 00:00:00,Up
5775,66770200,2003-10-29 00:00:00,Up
5778,75710600,2003-11-03 00:00:00,Up
5780,80617600,2003-11-05 00:00:00,Up
5781,99268400,2003-11-06 00:00:00,Up
5785,75000800,2003-11-12 00:00:00,Up
5786,53193000,2003-11-13 00:00:00,Up
5791,59897600,2003-11-20 00:00:00,Up
5793,95456200,2003-11-24 00:00:00,Up
5796,19024600,2003-11-28 00:00:00,Up
5797,90384000,2003-12-01 00:00:00,Up
5800,44485000,2003-12-04 00:00:00,Up
5802,37059400,2003-12-08 00:00:00,Up
5805,45784200,2003-12-11 00:00:00,Up
5810,82728800,2003-12-18 00:00:00,Up
5812,94266200,2003-12-22 00:00:00,Up
5814,44368800,2003-12-24 00:00:00,Up
5815,25923800,2003-12-26 00:00:00,Up
5816,58364600,2003-12-29 00:00:00,Up
5817,51213400,2003-12-30 00:00:00,Up
5818,43612800,2003-12-31 00:00:00,Up
5820,98754600,2004-01-05 00:00:00,Up
5822,146718600,2004-01-07 00:00:00,Up
5823,115075800,2004-01-08 00:00:00,Up
5825,121886800,2004-01-12 00:00:00,Up
5830,78986600,2004-01-20 00:00:00,Up
5833,56792400,2004-01-23 00:00:00,Up
5834,67817400,2004-01-26 00:00:00,Up
